networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,167.0,0.02,6.4,,,,,2023-12-11 09:01:00.000,2023-12-11 09:01:19.837
14484CA7BED21,167.0,0.02,6.4,,,,,2023-12-11 09:01:01.000,2023-12-11 09:01:21.739
14484CA7BED21,167.0,0.02,6.4,,,,,2023-12-11 09:01:23.000,2023-12-11 09:01:41.507
14484CA7BED21,166.0,0.03,6.4,,,,,2023-12-11 09:01:43.000,2023-12-11 09:02:03.717
14484CA7BED21,166.0,0.03,6.3,,,,,2023-12-11 09:02:05.000,2023-12-11 09:02:25.120
14484CA7BED21,166.0,0.03,6.3,,,,,2023-12-11 09:02:27.000,2023-12-11 09:02:44.879
14484CA7BED21,167.0,0.02,6.3,,,,,2023-12-11 09:02:45.000,2023-12-11 09:03:06.591
14484CA7BED21,167.0,0.02,6.3,,,,,2023-12-11 09:03:08.000,2023-12-11 09:03:27.431
14484CA7BED21,167.0,0.02,6.3,,,,,2023-12-11 09:03:28.000,2023-12-11 09:04:32.713
14484CA7BED21,167.0,0.02,5.8,,,,,2023-12-11 09:04:36.000,2023-12-11 09:08:27.202
14484CA7BED21,167.0,0.02,5.8,,,,,2023-12-11 09:08:30.000,2023-12-11 09:09:06.312
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 09:09:09.000,2023-12-11 09:10:53.089
14484CA7BED21,167.0,0.02,6.1,,,,,2023-12-11 09:10:54.000,2023-12-11 09:11:18.978
14484CA7BED21,167.0,0.02,6.1,,,,,2023-12-11 09:11:23.000,2023-12-11 09:11:59.819
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 09:12:04.000,2023-12-11 09:12:29.652
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:12:33.000,2023-12-11 09:12:58.521
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 09:17:30.000,2023-12-11 10:53:29.745
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:22:30.000,2023-12-11 10:53:34.524
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:27:30.000,2023-12-11 10:53:39.758
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:32:30.000,2023-12-11 10:53:43.993
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 09:37:30.000,2023-12-11 10:53:49.244
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:42:30.000,2023-12-11 10:53:50.387
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 09:47:30.000,2023-12-11 10:53:53.620
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:52:30.000,2023-12-11 10:53:57.443
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 09:57:30.000,2023-12-11 10:54:01.971
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:02:30.000,2023-12-11 10:54:05.724
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 10:07:30.000,2023-12-11 10:54:10.609
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 10:12:30.000,2023-12-11 10:54:14.391
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 10:17:30.000,2023-12-11 10:54:18.104
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:22:30.000,2023-12-11 10:54:22.459
14484CA7BED21,167.0,0.02,5.7,,,,,2023-12-11 10:27:30.000,2023-12-11 10:54:27.141
14484CA7BED21,165.0,0.04,5.7,,,,,2023-12-11 10:32:30.000,2023-12-11 10:54:31.117
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:37:30.000,2023-12-11 10:54:35.095
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:42:30.000,2023-12-11 10:54:39.055
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:47:30.000,2023-12-11 10:54:42.362
14484CA7BED21,166.0,0.03,5.7,,,,,2023-12-11 10:52:30.000,2023-12-11 10:54:46.235
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 10:57:30.000,2023-12-11 12:33:27.977
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 11:02:30.000,2023-12-11 12:33:32.733
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 11:07:30.000,2023-12-11 12:33:37.611
14484CA7BED21,164.0,0.05,6.2,,,,,2023-12-11 11:12:30.000,2023-12-11 12:33:42.720
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 11:17:30.000,2023-12-11 12:33:47.828
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 11:22:30.000,2023-12-11 12:33:52.900
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 11:27:30.000,2023-12-11 12:33:57.997
14484CA7BED21,167.0,0.02,6.2,,,,,2023-12-11 11:32:30.000,2023-12-11 12:34:00.302
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 11:37:30.000,2023-12-11 12:34:03.152
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 11:42:30.000,2023-12-11 12:34:07.022
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 11:47:30.000,2023-12-11 12:34:10.833
14484CA7BED21,166.0,0.03,6.2,,,,,2023-12-11 11:52:30.000,2023-12-11 12:34:14.737
14484CA7BED21,165.0,0.04,6.2,,,,,2023-12-11 11:57:30.000,2023-12-11 12:34:19.064
