networkId,roadTemperature,airTemperature,airHumidity,precipitation,batteryLevel,rssi,seqNumber,transmissionSeqNumber,firmwareVersion,time,createdAt
E067-6EB9-0614-9339,1.04,2.79,85.0,0.0,5.02,-76.0,1.0,1.0,v2.5,2023-12-25T20:01:13.000,2023-12-25T20:03:47.094
E067-6EB9-0614-9339,0.93,2.46,86.0,0.0,5.03,-75.0,2.0,2.0,v2.5,2023-12-25T20:05:34.000,2023-12-25T20:08:41.772
E067-6EB9-0614-9339,0.88,2.27,86.0,0.0,5.03,-76.0,3.0,3.0,v2.5,2023-12-25T20:10:40.000,2023-12-25T20:13:40.676
E067-6EB9-0614-9339,0.76,2.04,87.0,0.0,5.03,-76.0,4.0,4.0,v2.5,2023-12-25T20:15:40.000,2023-12-25T20:19:10.784
E067-6EB9-0614-9339,0.76,2.04,87.0,0.0,5.03,-76.0,4.0,4.0,v2.5,2023-12-25T20:15:40.000,2023-12-25T20:23:16.897
E067-6EB9-0614-9339,0.6900000000000001,1.88,88.0,0.0,5.03,-76.0,5.0,5.0,v2.5,2023-12-25T20:20:54.000,2023-12-25T20:23:16.914
E067-6EB9-0614-9339,0.64,1.9500000000000002,88.0,0.0,5.03,-74.0,6.0,6.0,v2.5,2023-12-25T20:25:17.000,2023-12-25T20:29:00.476
E067-6EB9-0614-9339,0.64,1.9500000000000002,88.0,0.0,5.03,-74.0,6.0,6.0,v2.5,2023-12-25T20:25:17.000,2023-12-25T20:32:57.090
E067-6EB9-0614-9339,0.61,1.97,88.0,0.0,5.03,-76.0,7.0,7.0,v2.5,2023-12-25T20:29:11.000,2023-12-25T20:32:57.079
E067-6EB9-0614-9339,0.63,2.1,89.0,0.0,5.03,-75.0,8.0,8.0,v2.5,2023-12-25T20:34:57.000,2023-12-25T20:38:26.386
E067-6EB9-0614-9339,0.67,2.33,89.0,0.0,5.03,-75.0,9.0,9.0,v2.5,2023-12-25T20:40:20.000,2023-12-25T20:43:58.095
E067-6EB9-0614-9339,0.68,2.41,89.0,0.0,5.03,-75.0,10.0,10.0,v2.5,2023-12-25T20:45:22.000,2023-12-25T20:47:52.498
E067-6EB9-0614-9339,0.76,2.47,89.0,0.0,5.03,-75.0,11.0,11.0,v2.5,2023-12-25T20:49:44.000,2023-12-25T20:52:42.410
E067-6EB9-0614-9339,0.74,2.5,88.0,0.0,5.03,-76.0,12.0,12.0,v2.5,2023-12-25T20:54:40.000,2023-12-25T20:58:19.516
E067-6EB9-0614-9339,0.71,2.5300000000000002,88.0,0.0,5.03,-76.0,13.0,13.0,v2.5,2023-12-25T20:59:41.000,2023-12-25T21:02:48.277
E067-6EB9-0614-9339,0.67,2.5300000000000002,88.0,0.0,5.03,-75.0,14.0,14.0,v2.5,2023-12-25T21:04:44.000,2023-12-25T21:07:28.831
E067-6EB9-0614-9339,0.58,2.4,88.0,0.0,5.03,-76.0,15.0,15.0,v2.5,2023-12-25T21:09:29.000,2023-12-25T21:13:19.728
E067-6EB9-0614-9339,0.58,2.4,88.0,0.0,5.03,-76.0,15.0,15.0,v2.5,2023-12-25T21:09:29.000,2023-12-25T21:18:08.465
E067-6EB9-0614-9339,0.58,2.4,88.0,0.0,5.03,-76.0,15.0,15.0,v2.5,2023-12-25T21:09:29.000,2023-12-25T21:22:29.928
E067-6EB9-0614-9339,0.48,2.15,88.0,0.0,5.03,-75.0,16.0,16.0,v2.5,2023-12-25T21:14:56.000,2023-12-25T21:18:08.482
E067-6EB9-0614-9339,0.48,2.15,88.0,0.0,5.03,-75.0,16.0,16.0,v2.5,2023-12-25T21:14:56.000,2023-12-25T21:22:29.914
E067-6EB9-0614-9339,0.38,1.8599999999999999,88.0,0.0,5.03,-76.0,17.0,17.0,v2.5,2023-12-25T21:18:16.000,2023-12-25T21:22:29.918
E067-6EB9-0614-9339,0.35000000000000003,1.74,89.0,0.0,5.03,-76.0,18.0,18.0,v2.5,2023-12-25T21:24:24.000,2023-12-25T21:28:07.816
E067-6EB9-0614-9339,0.35000000000000003,1.74,89.0,0.0,5.03,-76.0,18.0,18.0,v2.5,2023-12-25T21:24:24.000,2023-12-25T21:32:38.085
E067-6EB9-0614-9339,0.35000000000000003,1.74,89.0,0.0,5.03,-76.0,18.0,18.0,v2.5,2023-12-25T21:24:24.000,2023-12-25T21:37:09.566
E067-6EB9-0614-9339,0.38,1.88,90.0,0.0,5.03,-74.0,19.0,19.0,v2.5,2023-12-25T21:28:15.000,2023-12-25T21:32:38.090
E067-6EB9-0614-9339,0.38,1.88,90.0,0.0,5.03,-74.0,19.0,19.0,v2.5,2023-12-25T21:28:15.000,2023-12-25T21:37:09.527
E067-6EB9-0614-9339,0.41000000000000003,1.9300000000000002,90.0,0.0,5.03,-76.0,20.0,20.0,v2.5,2023-12-25T21:33:07.000,2023-12-25T21:37:09.597
E067-6EB9-0614-9339,0.51,2.02,90.0,0.0,5.03,-75.0,21.0,21.0,v2.5,2023-12-25T21:38:59.000,2023-12-25T21:42:13.898
E067-6EB9-0614-9339,0.58,2.1,91.0,0.0,5.03,-76.0,22.0,22.0,v2.5,2023-12-25T21:44:05.000,2023-12-25T21:46:45.389
E067-6EB9-0614-9339,0.65,2.16,91.0,0.0,5.03,-74.0,23.0,23.0,v2.5,2023-12-25T21:48:41.000,2023-12-25T21:52:41.516
E067-6EB9-0614-9339,0.65,2.16,91.0,0.0,5.03,-74.0,23.0,23.0,v2.5,2023-12-25T21:48:41.000,2023-12-25T21:56:45.847
E067-6EB9-0614-9339,0.71,2.1,91.0,0.0,5.02,-76.0,24.0,24.0,v2.5,2023-12-25T21:52:55.000,2023-12-25T21:56:45.852
E067-6EB9-0614-9339,0.75,2.02,91.0,0.0,5.03,-76.0,25.0,25.0,v2.5,2023-12-25T21:58:41.000,2023-12-25T22:02:04.050
E067-6EB9-0614-9339,0.75,2.02,91.0,0.0,5.03,-76.0,25.0,25.0,v2.5,2023-12-25T21:58:41.000,2023-12-25T22:07:37.628
E067-6EB9-0614-9339,0.77,1.97,91.0,0.0,5.02,-74.0,26.0,26.0,v2.5,2023-12-25T22:02:34.000,2023-12-25T22:07:37.624
E067-6EB9-0614-9339,0.75,1.9500000000000002,91.0,0.0,5.03,-75.0,27.0,27.0,v2.5,2023-12-25T22:08:46.000,2023-12-25T22:12:12.244
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:17:10.062
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:22:02.050
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:27:27.233
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:31:46.411
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:38:27.178
E067-6EB9-0614-9339,0.7000000000000001,1.8599999999999999,91.0,0.0,5.02,-75.0,28.0,28.0,v2.5,2023-12-25T22:13:34.000,2023-12-25T22:41:14.772
E067-6EB9-0614-9339,0.68,1.8599999999999999,91.0,0.0,5.03,-75.0,29.0,29.0,v2.5,2023-12-25T22:17:16.000,2023-12-25T22:22:02.056
E067-6EB9-0614-9339,0.68,1.8599999999999999,91.0,0.0,5.03,-75.0,29.0,29.0,v2.5,2023-12-25T22:17:16.000,2023-12-25T22:27:27.244
E067-6EB9-0614-9339,0.68,1.8599999999999999,91.0,0.0,5.03,-75.0,29.0,29.0,v2.5,2023-12-25T22:17:16.000,2023-12-25T22:31:46.433
E067-6EB9-0614-9339,0.68,1.8599999999999999,91.0,0.0,5.03,-75.0,29.0,29.0,v2.5,2023-12-25T22:17:16.000,2023-12-25T22:38:27.135
E067-6EB9-0614-9339,0.68,1.8599999999999999,91.0,0.0,5.03,-75.0,29.0,29.0,v2.5,2023-12-25T22:17:16.000,2023-12-25T22:41:14.795
E067-6EB9-0614-9339,0.68,1.81,91.0,0.0,5.03,-76.0,30.0,30.0,v2.5,2023-12-25T22:22:25.000,2023-12-25T22:27:27.250
E067-6EB9-0614-9339,0.68,1.81,91.0,0.0,5.03,-76.0,30.0,30.0,v2.5,2023-12-25T22:22:25.000,2023-12-25T22:31:46.417
E067-6EB9-0614-9339,0.68,1.81,91.0,0.0,5.03,-76.0,30.0,30.0,v2.5,2023-12-25T22:22:25.000,2023-12-25T22:38:27.118
E067-6EB9-0614-9339,0.68,1.81,91.0,0.0,5.03,-76.0,30.0,30.0,v2.5,2023-12-25T22:22:25.000,2023-12-25T22:41:14.785
E067-6EB9-0614-9339,0.67,1.78,92.0,0.0,5.03,-76.0,31.0,31.0,v2.5,2023-12-25T22:27:08.000,2023-12-25T22:31:46.427
E067-6EB9-0614-9339,0.67,1.78,92.0,0.0,5.03,-76.0,31.0,31.0,v2.5,2023-12-25T22:27:08.000,2023-12-25T22:38:27.148
E067-6EB9-0614-9339,0.63,1.81,92.0,0.0,5.03,-75.0,32.0,32.0,v2.5,2023-12-25T22:32:09.000,2023-12-25T22:38:27.162
E067-6EB9-0614-9339,0.5700000000000001,1.81,92.0,0.0,5.03,-75.0,33.0,33.0,v2.5,2023-12-25T22:38:33.000,2023-12-25T22:41:14.801
E067-6EB9-0614-9339,0.52,1.75,92.0,0.0,5.03,-74.0,34.0,34.0,v2.5,2023-12-25T22:43:16.000,2023-12-25T22:46:33.259
E067-6EB9-0614-9339,0.52,1.74,92.0,0.0,5.03,-75.0,35.0,35.0,v2.5,2023-12-25T22:48:06.000,2023-12-25T22:50:45.053
