networkId,roadTemperature,airTemperature,airHumidity,batteryLevel,rssi,rsrq,seqNumber,firmwareVersion,time,createdAt
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:03:00.000,2023-12-01 01:04:38.502
14484CA85F912,,,,,25.0,4.0,6687.0,"1,7",2023-12-01 01:04:36.322,2023-12-01 01:04:36.418
14484CA85F912,-2.5,-1.6,96.0,6.0,,,,,2023-12-01 01:08:00.000,2023-12-01 01:09:36.150
14484CA85F912,,,,,26.0,4.0,6688.0,"1,7",2023-12-01 01:09:33.922,2023-12-01 01:09:34.045
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:13:00.000,2023-12-01 01:14:33.514
14484CA85F912,,,,,25.0,4.0,6689.0,"1,7",2023-12-01 01:14:31.202,2023-12-01 01:14:31.303
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:18:00.000,2023-12-01 01:19:34.442
14484CA85F912,,,,,26.0,4.0,6690.0,"1,7",2023-12-01 01:19:32.323,2023-12-01 01:19:32.423
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:23:00.000,2023-12-01 01:24:37.963
14484CA85F912,,,,,26.0,3.0,6691.0,"1,7",2023-12-01 01:24:35.105,2023-12-01 01:24:35.286
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:28:00.000,2023-12-01 01:29:40.419
14484CA85F912,,,,,26.0,3.0,6692.0,"1,7",2023-12-01 01:29:36.307,2023-12-01 01:29:36.461
14484CA85F912,-2.5,-1.5,95.0,6.0,,,,,2023-12-01 01:33:00.000,2023-12-01 01:35:50.454
14484CA85F912,,,,,27.0,3.0,6693.0,"1,7",2023-12-01 01:35:47.346,2023-12-01 01:35:47.450
14484CA85F912,-2.5,-1.5,96.0,6.0,,,,,2023-12-01 01:38:00.000,2023-12-01 01:39:33.095
14484CA85F912,,,,,26.0,4.0,6694.0,"1,7",2023-12-01 01:39:31.042,2023-12-01 01:39:31.177
14484CA85F912,-2.5,-1.4,95.0,6.0,,,,,2023-12-01 01:43:00.000,2023-12-01 01:44:38.290
14484CA85F912,,,,,27.0,4.0,6695.0,"1,7",2023-12-01 01:44:35.433,2023-12-01 01:44:35.593
14484CA85F912,-2.5,-1.4,95.0,6.0,,,,,2023-12-01 01:48:00.000,2023-12-01 01:49:38.421
14484CA85F912,,,,,26.0,3.0,6696.0,"1,7",2023-12-01 01:49:35.186,2023-12-01 01:49:35.235
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 01:53:00.000,2023-12-01 01:54:37.474
14484CA85F912,,,,,27.0,4.0,6697.0,"1,7",2023-12-01 01:54:35.042,2023-12-01 01:54:35.575
14484CA85F912,-2.4,-1.4,95.0,6.0,,,,,2023-12-01 01:58:00.000,2023-12-01 01:59:41.022
14484CA85F912,,,,,27.0,4.0,6698.0,"1,7",2023-12-01 01:59:38.066,2023-12-01 01:59:38.576
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:03:00.000,2023-12-01 02:04:38.212
14484CA85F912,,,,,27.0,4.0,6699.0,"1,7",2023-12-01 02:04:35.109,2023-12-01 02:04:35.240
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:08:00.000,2023-12-01 02:09:39.579
14484CA85F912,,,,,26.0,4.0,6700.0,"1,7",2023-12-01 02:09:36.582,2023-12-01 02:09:37.453
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:13:00.000,2023-12-01 02:14:38.870
14484CA85F912,,,,,27.0,4.0,6701.0,"1,7",2023-12-01 02:14:35.506,2023-12-01 02:14:35.745
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:18:00.000,2023-12-01 02:19:39.520
14484CA85F912,,,,,27.0,3.0,6702.0,"1,7",2023-12-01 02:19:36.545,2023-12-01 02:19:36.705
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:23:00.000,2023-12-01 02:24:34.359
14484CA85F912,,,,,26.0,4.0,6703.0,"1,7",2023-12-01 02:24:32.322,2023-12-01 02:24:32.365
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:28:00.000,2023-12-01 02:29:36.845
14484CA85F912,,,,,27.0,3.0,6704.0,"1,7",2023-12-01 02:29:33.446,2023-12-01 02:29:33.889
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:33:00.000,2023-12-01 02:34:36.624
14484CA85F912,,,,,26.0,5.0,6705.0,"1,7",2023-12-01 02:34:34.402,2023-12-01 02:34:34.521
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:38:00.000,2023-12-01 02:39:37.031
14484CA85F912,,,,,27.0,4.0,6706.0,"1,7",2023-12-01 02:39:33.905,2023-12-01 02:39:33.995
14484CA85F912,-2.4,-1.4,96.0,6.0,,,,,2023-12-01 02:43:00.000,2023-12-01 02:44:39.285
14484CA85F912,,,,,27.0,3.0,6707.0,"1,7",2023-12-01 02:44:36.307,2023-12-01 02:44:37.182
14484CA85F912,-2.4,-1.3,96.0,6.0,,,,,2023-12-01 02:48:00.000,2023-12-01 02:49:38.596
14484CA85F912,,,,,27.0,4.0,6708.0,"1,7",2023-12-01 02:49:35.666,2023-12-01 02:49:36.516
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 02:54:00.000,2023-12-01 02:54:45.252
14484CA85F912,,,,,27.0,4.0,6709.0,"1,7",2023-12-01 02:54:41.746,2023-12-01 02:54:41.774
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 02:59:00.000,2023-12-01 02:59:44.713
14484CA85F912,,,,,27.0,4.0,6710.0,"1,7",2023-12-01 02:59:41.667,2023-12-01 02:59:42.410
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 03:04:00.000,2023-12-01 03:04:47.487
14484CA85F912,,,,,28.0,4.0,6711.0,"1,7",2023-12-01 03:04:44.466,2023-12-01 03:04:44.828
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 03:09:00.000,2023-12-01 03:09:40.672
14484CA85F912,,,,,25.0,5.0,6712.0,"1,7",2023-12-01 03:09:38.082,2023-12-01 03:09:38.125
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 03:14:00.000,2023-12-01 03:14:46.713
14484CA85F912,,,,,27.0,3.0,6713.0,"1,7",2023-12-01 03:14:43.666,2023-12-01 03:14:43.694
14484CA85F912,-2.3,-1.3,96.0,6.0,,,,,2023-12-01 03:19:00.000,2023-12-01 03:19:44.903
14484CA85F912,,,,,27.0,4.0,6714.0,"1,7",2023-12-01 03:19:41.906,2023-12-01 03:19:42.127
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:24:00.000,2023-12-01 03:24:44.813
14484CA85F912,,,,,27.0,4.0,6715.0,"1,7",2023-12-01 03:24:41.839,2023-12-01 03:24:42.991
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:29:00.000,2023-12-01 03:29:43.696
14484CA85F912,,,,,27.0,4.0,6716.0,"1,7",2023-12-01 03:29:40.626,2023-12-01 03:29:41.126
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:34:00.000,2023-12-01 03:34:44.127
14484CA85F912,,,,,28.0,3.0,6717.0,"1,7",2023-12-01 03:34:40.546,2023-12-01 03:34:40.799
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:39:00.000,2023-12-01 03:39:46.313
14484CA85F912,,,,,27.0,4.0,6718.0,"1,7",2023-12-01 03:39:43.266,2023-12-01 03:39:43.558
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:44:00.000,2023-12-01 03:44:43.884
14484CA85F912,,,,,26.0,4.0,6719.0,"1,7",2023-12-01 03:44:40.786,2023-12-01 03:44:40.973
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:49:00.000,2023-12-01 03:49:45.446
14484CA85F912,,,,,27.0,3.0,6720.0,"1,7",2023-12-01 03:49:41.986,2023-12-01 03:49:42.305
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:54:00.000,2023-12-01 03:54:45.057
14484CA85F912,,,,,27.0,4.0,6721.0,"1,7",2023-12-01 03:54:40.786,2023-12-01 03:54:41.056
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 03:59:00.000,2023-12-01 03:59:40.187
14484CA85F912,,,,,25.0,4.0,6722.0,"1,7",2023-12-01 03:59:37.922,2023-12-01 03:59:39.516
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 04:04:00.000,2023-12-01 04:04:47.029
14484CA85F912,,,,,27.0,4.0,6723.0,"1,7",2023-12-01 04:04:43.987,2023-12-01 04:04:44.677
14484CA85F912,-2.3,-1.2,96.0,6.0,,,,,2023-12-01 04:09:00.000,2023-12-01 04:09:44.066
14484CA85F912,,,,,27.0,4.0,6724.0,"1,7",2023-12-01 04:09:40.787,2023-12-01 04:09:41.624
14484CA85F912,-2.3,-1.3,97.0,6.0,,,,,2023-12-01 04:14:00.000,2023-12-01 04:14:45.240
14484CA85F912,,,,,26.0,3.0,6725.0,"1,7",2023-12-01 04:14:42.146,2023-12-01 04:14:42.301
14484CA85F912,-2.3,-1.3,97.0,6.0,,,,,2023-12-01 04:19:00.000,2023-12-01 04:19:42.934
14484CA85F912,,,,,27.0,3.0,6726.0,"1,7",2023-12-01 04:19:39.987,2023-12-01 04:19:41.260
14484CA85F912,-2.3,-1.3,97.0,6.0,,,,,2023-12-01 04:24:00.000,2023-12-01 04:24:44.307
14484CA85F912,,,,,28.0,3.0,6727.0,"1,7",2023-12-01 04:24:40.948,2023-12-01 04:24:41.162
14484CA85F912,-2.3,-1.3,97.0,6.0,,,,,2023-12-01 04:29:00.000,2023-12-01 04:29:44.341
14484CA85F912,,,,,27.0,5.0,6728.0,"1,7",2023-12-01 04:29:41.617,2023-12-01 04:29:41.775
