networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-05T07:45:21.979,2023-12-05T07:46:34.674
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-05T23:08:23.770,2023-12-05T23:08:42.183
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-07T07:35:07.479,2023-12-07T07:35:26.415
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-07T07:45:58.889,2023-12-07T07:47:04.040
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-07T08:14:27.281,2023-12-07T08:15:16.886
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-10T07:07:02.404,2023-12-10T07:08:15.892
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-10T07:11:54.499,2023-12-10T07:12:24.316
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-11T07:35:27.348,2023-12-11T07:36:04.550
14484CA7BED21,,,,4.0,1.0,"1,4",cfg,2023-12-11T07:59:54.038,2023-12-11T08:00:57.648
14484CA7BED21,,,,13.0,,"1,4",cfg,2023-12-11T09:00:46.955,2023-12-11T09:00:47.033
14484CA7BED21,1.67,0.02,6.4,,,,,2023-12-11T09:01:00.000,2023-12-11T09:01:19.837
14484CA7BED21,1.67,0.02,6.4,,,,,2023-12-11T09:01:01.000,2023-12-11T09:01:21.739
14484CA7BED21,,,,12.0,1.0,"1,4",cfg,2023-12-11T09:01:17.557,2023-12-11T09:01:17.724
14484CA7BED21,1.67,0.02,6.4,,,,,2023-12-11T09:01:23.000,2023-12-11T09:01:41.507
14484CA7BED21,,,,13.0,2.0,"1,4",cfg,2023-12-11T09:01:38.472,2023-12-11T09:01:38.947
14484CA7BED21,1.6600000000000001,0.03,6.4,,,,,2023-12-11T09:01:43.000,2023-12-11T09:02:03.717
14484CA7BED21,,,,13.0,3.0,"1,4",cfg,2023-12-11T09:01:59.943,2023-12-11T09:02:00.088
